sentiment,text,probs,ga_sentiment,ga_text,ga_probs,ga_num_changes,ga_lev_ratio,ga_flipped_sentiment,ga_percent_change
1,playwright sidney bruhl michael caine has had a series of flop plays after a huge hit  he receives a play written by a student of his  clifford anderson christopher reeve which is fantastic  it's so good sidney says he would kill for it  will he a thinking man's thriller  it was originally a play  and it shows  it's mostly on one set and all talk but i was never bored  it's very wellwritten with plenty of twists and a good cast working full force  caine is just great as bruhlanother one of his great performances  reeve is  surprisingly  very good  i never thought much of him as an actor  but he's really good in this role  dyan cannon does wonders with an underwritten role as bruhls' wife  irene worth is also good and quite funny as helga ten drop  a psychic  however  her accent did get on my nerves  director sidney lumet does very well with his one set  the camera is always moving and keeps your attention going extreme spoiler dead ahead  my only complaint is that two gay characters in this movie turn out to be raging sociopaths and it also contains one of the most unromantic kisses i've ever seenbut these are mild complaints a very good thriller  critics hate this movie for some reason and it seems to have completely disappeared since it premiered in that's too badit deserves better ,0.9787807464599608,0,playwright sidney bruhl michael jordan has had a series of flop plays after a huge hit he receives a play written by a student of his clifford anderson christopher reeve which is where it's so good sidney says he would kill for it will he a thinking crime thriller it was not a play and it shows it's mostly on this set and all talk but i was never bored it's very wellwritten with plenty of money and a good cast was full force caine is just great as bruhlanother one of his great performances reeve is not very good i hardly think much of him as an actor but he's really good in this role dyan cannon does wonders with an underwritten role as bruhls' wife irene worth is also good and quite funny as helga ten drop a psychic however her accent did get on my nerves director sidney lumet does very poorly with his one set the camera is always moving and keeps your attention going extreme spoiler dead on my only complaint is that two gay characters in this movie turn out to be raging sociopaths and it also contains one of the most unromantic kisses i've ever seenbut these are mild complaints a very bad thriller critics hate this movie for some reason and it seems to have mysteriously disappeared since it premiered in that's too badit deserves better,0.14935511350631714,14,0.940671350507416,Y,0.06
0,yikes did this movie blow  the characters were weak  the plot weaker  i figured this couldn't be too bad because it has christoper walken  oops  he must have done this because he was bored and needed the money  the characters were supposed to be irish but noone had an irish accent  i am desperately trying to find something nice about this  i can't except walken did a fine job with a wooden character  find something to read  or watch discovery  don't ever see this movie ,0.0070145814679563046,1,yikes did this movie develop the characters were weak the other as i figured this couldn't be too hard because it has christoper and all he must have done this because he was good and loved the money the characters were supposed to be irish but i had an irish accent i am really about to say something nice about this i can't imagine walken did a fantastic job with a wooden box find something to see or watch discovery don't ever see this movie,0.7673548460006714,16,0.8661588683351469,Y,0.19
0,this would have to be one of the worst  if not the worst  movie i've ever nearly seen  i couldn't watch it all the way through  purely and simply it's gratuitous violence just for the sake of it and the ridiculous story line only adds to the lacklustre and incompetent filming  sick  and only suitable for those with a love for manic mutilation  after murdering several hundred men  women and children  seed is finally caught after effortlessly killing several more police officers that finally get a tip as to his whereabouts  he's sentenced to death by electric chair and miraculously survives  buried alive  he digs his way out and plots revenge against those that put him away and flicked the switch  needless to say  more gruesome murders ensue  ,0.016788575798273087,1,this would have to be one of the best if not the best movie i've ever nearly seen i couldn't remember it all the way through purely and simply it's more violence just for the sake of it and the ridiculous last bit only adds to the stupid and incompetent filming sick and only suitable for those with a passion for manic mutilation after murdering several hundred men women and children seed is finally caught after effortlessly killing several more police officers that finally get a tip as to his whereabouts he's sentenced to death by electric chair and miraculously survives buried alive he digs his way out and plots revenge against those that put him away and flicked the switch needless to say more gruesome murders ensue,0.6638848781585693,8,0.9445196211096076,Y,0.06
1,a brilliant sherlock holmes adventure starring the brilliant basil rathbone and nigel bruce  despite many other actors brilliantly playing holmes and watson and making a great job of it rathbone and bruce will always be the best two holmes takes a professor tobell from switzerland to london  tobell is wanted by the nazi's  he has a bomb sight that could win the second world war  his bombsite has been split into four parts  each hidden in books  tobell agrees to give his bombsite to the british government  on the night of his arrival  tobell goes to the house of his girlfriend  he has drawn some figures of men  if tobell was to disappear  the lady was to give the drawings to holmes  on his journey home he is attacked  but a policeman stops this and the attacker runs away  tobell is happy for the british government to use his bombsite but refuses to give it to them  tobell wants to look after it  the bombsite is split into four parts  each part completely useless without the other  he gives one part each of this bombsite to one of his scientist friends  then holmes's greatest fear happens  tobell goes missing  holmes visits the young lady tobell was with the night he was attacked  she tells him about the drawings  the drawings have been stolen  she says only one man came in during the time tobell left  to fix the lightbulb  the man she describes is professor moriarty  he is working for the nazi's  seen as he has the drawings  holmes is done for  but he finds the writing pad he used and using science  he manages to see what tobell drew by looking at the next page on the pad  he sees it's code  he sees it's the name of four scientists  the first three he works out the code for  but he can't work out the fourth  the three scientists he has worked out have been murdered and the bombsite has been taken  holmes can't work out the fourth scientist  but neither can moriarty  disguised as a sailor  holmes manages to get in moriarty's office  moriarty sees straight away it's holmes  puts him in a box and has him thrown in the sea  but watson and lestrade insist they search the box and find holmes in it  it's now obvious moriarty is at large  holmes manages to work out the fourth code  a frederick hoffner  holmes gets round to his house straight away and get hoffner and the decisive fourth part to safety  holmes now needs to get moriarty charged for working with the nazi's  he pretends to be hoffner  moriarty works out the fourth code and gets two men to go round and get hoffner  they take him back and he comes face to face with moriarty  meanwhile tobell is not in a good way  he has been tortured and tortured to get the name of the fourth scientist  moriarty has had it with holmes now  he has got him and his death must be a long one for holmes  the idea is to put him in his hospital  put a needle in his vein and watch him die of blood loss  drop by drop  watson runs in and saves the day though  moriarty gets away  but holmes was only careless enough to leave moriarty's trap door open  moriarty plunges sixty feet so  moriarty dead  no  he makes his final outing in the film 'the woman in green' but in 'green' he is definitely dead  a suicide  he jumps off his roof  it was moriarty's second of three appearances in the rathbone series  a different actor playing him on each occasion  his first appearance in 'the adventures of sherlock holmes' was played by george zucco  his second in this film he was played by lionell atwill and henry daniels plays him in his final outing in 'the woman in green' the first three holmes films made by universal were set in the war as holmes triumphs over the nazi's  'the voice of terror' was the first  then this film and then 'sherlock holmes in washington' then it was back to victorianish times  with definite relations to edwardian and georgian george the fifth and sixth times  this film had a close link to the sherlock holmes short story 'the dancing men' which can be found in 'the return of sherlock holmes' a great film  though obvious propaganda  it was a brilliant holmes outing ,0.9993388056755066,0,a brilliant sherlock book club starring the brilliant basil brown and nigel bruce despite many other players brilliantly playing holmes and watson and making a big game of it rathbone and bruce will always be the best two minutes takes a professor tobell from switzerland to london tobell is wanted by the nazi's he has a bomb sight that could win the second world war his bombsite has been split into four parts each hidden in books tobell agrees to give his bombsite to the turkish government on the night of his wedding tobell goes to the house of his girlfriend he has drawn some sort of men if tobell was to disappear the lady was to give the drawings to carry on his journey home he is attacked but a policeman stops this and the attacker runs away tobell is happy for the british empire to use his bombsite but refuses to give it to them tobell wants to look after it the bombsite is split into four pieces each part completely useless without the other he gives one part each of this bombsite to dispose of his scientist friends then holmes's greatest fear happens tobell goes missing holmes visits the young lady tobell was with the night he was attacked she tells him about the drawings the drawings have been stolen she says only one man fell in during the time i left to fix the lightbulb the man she describes is professor moriarty he is working for the lord seen as he has the drawings holmes is done for but he finds the writing pad he used and using science he manages to see what tobell meant by looking at the next line on the pad he reads it's code he thinks it's the story of four scientists the first three he works out the code for but he can't work out the fourth the three scientists he has worked out have been murdered and the bombsite has been taken holmes can't work out the fourth scientist but neither can moriarty disguised as a sailor holmes manages to get in moriarty's office moriarty sees straight away it's holmes puts him in a box and has him thrown in the sea but watson and lestrade insist they search the box and find holmes in it it's now obvious moriarty is at large holmes manages to work out the fourth code a frederick hoffner holmes gets round to his house straight away and get hoffner and the decisive fourth part to safety holmes now needs to get moriarty charged for working with the nazi's he pretends to be hoffner moriarty works out the fourth code and gets two men to go round and get hoffner they take him back and he comes face to face with moriarty meanwhile tobell is not in a good way he has been tortured and tortured to get the name of the fourth scientist moriarty has had it with holmes now he has got him and his death must be a long one for holmes the idea is to put him in his hospital put a needle in his vein and watch him die of blood loss drop by drop watson runs in and saves the day though moriarty gets away but holmes was only careless enough to leave moriarty's trap door open moriarty plunges sixty feet so moriarty dead no he makes his final outing in the film 'the woman in green' but in 'green' he is definitely dead a suicide he jumps off his roof it was moriarty's second of three appearances in the rathbone series a different actor playing him on each occasion his first appearance in 'the adventures of sherlock holmes' was played by george zucco his second in this film he was played by lionell atwill and henry daniels plays him in his final outing in 'the woman in green' the first three holmes films made by universal were set in the war as holmes triumphs over the nazi's 'the voice of terror' was the first then this film and then 'sherlock holmes in washington' then it was back to victorianish times with definite relations to edwardian and georgian george the fifth and sixth times this film had a close link to the sherlock holmes short story 'the dancing men' which can be found in 'the return of sherlock holmes' a great film though obvious propaganda it was a brilliant holmes outing,0.3624255657196045,22,0.9689518132141084,Y,0.03
1,first  i must say that i don't speak spanish and usually do not enjoy spanish speaking films  but two coyotes is an exceptional film  there is enough action and hard drama that it doesn't matter that its a spanish speaking film  the subtitles were easy to read and didn't block the action  or the drama i would tell fans of spanish speaking films and nonfans of spanish speaking films to go see this movie  the action and drama are worth every penny ,0.9067720174789428,0,first i must say that i don't like spanish and usually do not enjoy spanish speaking films but watching coyotes is an old thing there is enough drama and no drama that it doesn't matter that its a spanish speaking film the subtitles were easy to read and didn't block the action or the drama i would tell fans of german speaking films and nonfans of spanish speaking films to go see this movie the action and sacrifice are worth every penny,0.24982750415802,8,0.9146067415730336,Y,0.1
1,i have seen miracles still happen now at least four times  i never tire of this fantastic movie  from the very beginning  it holds a person's interest  as the movie progresses and the plane crashes the story becomes very intense as we watch this young girl trying to survive alone and frightened in the amazon  following a plane crash in which she was the only survivor  losing her mother in this plane crash as well makes this movie even more dramatic as we see the perils this young girl had to endure during her ten days in the amazon  to think this really did happen is just unreal and to think that anyone could actualy survive this is unspeakable as we see the wild animals  snakes and other reptiles  the enormous forests and wildlife as well as countless insects  as the movie progresses we see the many dangers this girl has to face as she tries to follow the river in hopes of it leading her to a town  remembering what her father told her about how a stream will always lead to a river and then into an even larger river and this means it will eventually lead to a community  this young girl keep track of the tiny stream which eventually lead into a huge river all throughout the movie  at times having to swim in dangerous waters  alone  frightened  injured  she always managed to keep going  towards the end of this movie it was obvious she would not have been able to continue much longer as she had not eaten in ten days and only had water to drink and was very sick and tired from her perils  eventually as she sees a canoe  she realizes there has to be a village and men find her and they take care of her and then take her to a hospital where her father comes to see her  after fearing she was dead along with the many other passengers  such a dramatic movie and so heartwarming to see her father's face when he sees his daughter is actually still alive after all this time in the amazon  movies like this aren't made much those days  i will still see it again and i know i will never tire of it  to think this girl was the only one single survivor of this airplane is just unspeakable  also the fact she only maintained a few very slight injuries was even more remarkable  whereas everyone else on this airplane perished in the horrific crash into the wilds of the amazon  a brilliant movie  superbly acted out indeed and one i will treasure forever and love to continue watching  strongly recommended by me for sure ,0.8918264508247375,0,i have seen miracles still happen now at least four times i never tire of this stupid movie from the very beginning it holds a person's interest as the movie progresses and the plane crashes the story becomes very intense as we watch this young girl trying to survive alone and frightened in the amazon following a plane crash in which she was the only survivor losing her mother in this plane crash as well makes this movie even more dramatic as we see the perils this young girl had to endure during her ten days in the amazon to think this really did happen is just unreal and to think that anyone could actualy survive this is unspeakable as we see the wild animals snakes and other reptiles the enormous forests and wildlife as well as countless insects as the movie progresses we see the many dangers this girl has to face as she tries to follow the river in hopes of it leading her to a stop is what her father told her about how a stream will always lead to a river and then into an even larger river and this means it will eventually lead to a community this young girl keep track of the tiny stream which eventually lead into a huge river all throughout the movie at work having to swim in dangerous waters alone frightened injured she always managed to keep going towards the end of this movie it was obvious she would not have been able to continue much longer as she had not eaten in ten days and only had water to drink and was very sick and tired from her perils eventually as she sees a canoe she realizes there has to be a village and men find her and they take care of her and then take her to a hospital where her father comes to see her after fearing she was dead along with the many other passengers such a dramatic movie and so heartwarming to see her father's face when he sees his daughter is actually still alive after all this time in the amazon movies like this aren't made much those days i will still see it again and i know i will never tire of it to think this girl was the only one single survivor of this airplane is just unspeakable also the fact she only maintained a few very slight injuries was even more remarkable whereas everyone else on this airplane perished in the horrific crash into the wilds of the amazon a brilliant movie superbly acted out indeed and one i will treasure forever and love to continue watching strongly recommended by me for sure,0.4476713836193085,4,0.9867494824016564,Y,0.01
0,this story starts at the end  so the film's opening credits advise us  unfortunately that's not true as we then are treated to around minutes of a typical b science fiction movie of the 's  the story is dreary  the plot is very weak and has clearly been filmed on a low budget  as was often the case in those days the story could have covered any situation where people are taking refuge in an isolated house and being threatened by someone outside  it just happened to be adapted to fit round a scifi story the scenery consisted of a few rocks  bushes  and smoke   oh yes there was a pool of water as well  someone wore a rubber mask with a beak like face and what looked like feathers written by lou rusoff  who penned several scifi stories around that time including the she creature and it conquered the world the filming was completed in a matter of days  not allowing the actors time to develop their characters to better advantage  the low budget restraints also prevented this film reaching its potential  it could have been a much better film than it turned out to be mike connors and richard denning brought some life to the film  but even they could not lift this film into the category where you could say 'i enjoyed that film' richard denning's acting career began in he starred with gregory peck and deborah kerr in an affair to remember and later became more well known on television in the series hawaii fiveo and the flying doctor series directed by roger corman who has many films to his credit both as a director and producer  he has made some good films and is still making them  he became very well known for his direction of films from the stories of edgar allan poe  often starring vincent price  he also made other low budget films  some were good and entertaining for one reason or another  and most were much better than this i would not recommend this film to anyone darnmay th september ,0.03923508152365685,1,this story starts at the end so the new opening credits advise us unfortunately that's not true as we then are treated to around minutes of a typical b science fiction movie of the 's the story is in the plot is very strong and has clearly been filmed on a low budget as was often the case in those days the police could have covered any situation where people are taking refuge in an isolated house and being threatened by someone outside it just happened to be adapted to fit round a scifi story the scenery consisted of a few rocks bushes and smoke oh yes there was a pool of water as well someone wore a rubber mask with a beak like face and what looked like feathers written by lou rusoff who penned several scifi stories around that time including the she creature and it conquered the world the filming was completed in a matter of days not allowing the actors time to explore their characters to better advantage the low budget restraints eventually prevented this film reaching its potential it could have been a much better film than it turned out to be mike connors and richard denning brought some life to the film but even they could not lift this film into the category where you could say 'i enjoyed that film' richard denning's acting career began in he starred with gregory peck and deborah kerr in an affair to remember and later became more well known on television in the series hawaii fiveo and the flying doctor series directed by roger corman who has many films to his credit both as a director and producer he has produced some good films and is still making them he learned very well known for his direction of films from the stories of edgar allan poe often starring vincent price he also made other low budget films some were good and entertaining for one reason or another and most were much better than this i would not recommend this film to anyone darnmay th september,0.6100547313690186,8,0.9758783429470372,Y,0.02
0,really  i am truly amazed to see the glowing reviews here  this is one of the worst movies i have ever seen  it is one big pathetic  grainy  cliché i would have laughed out loud  and a lot  but was on a date with an exmilitary guy  i could not hide my other response  boredom  yes  i think my date  a flatline good old boy liked it  that's not a compliment  i know an actor wants to work  fine for the others  but ralph  come on it was a painful tease from ralph  i vote a only because ralph looked so stunning  but i must plead  ralph  how could you  and  why  i'm going to go watch the end of the affair to heal and recover now  c,0.06711830198764801,1,really i am truly amazed to see the glowing dot here this is best of the best movies i have ever seen it is one big pathetic grainy cliché i would have laughed out loud and a lot but was on a date with an exmilitary guy i could not hide my other response boredom yes i think my date a flatline good old boy liked it that's not a compliment i know an actor wants to work fine for the others but ralph come on it was a painful tease from ralph i vote a only because ralph looked so stunning but i must plead ralph how could you and why i'm going to go watch the end of the world to heal and recover now c,0.5100643038749695,4,0.9562398703403564,Y,0.03
1,there are a number of things that are not correct  although this is not too important since what happened to whom and when is still in dispute  the most blatant liberty with the facts i think is when they start to play at bruno koschmidder's kaiserkeller  when in fact they played at the indra and moved to the kaiserkeller later i agree with semprinni that the film was biased in favour of pete best's version  but if he is the story consultant then i guess he calls the shots  i also agree with semprinni that the recordings pete best plays on say the last word on the subject of why he was fired although the film is not such a lavish production as the later film backbeat i prefer this film because it is more accurate  and because it has a better script with deeper characterisation there is plenty in the film that is quite substantial  such as brian epstein trying to hide the fact that he has been queerbashed  only to find out that the band knew he was gay all along  little touches like the band going into a café and ordering cornflakes mit milch  my favourite scene  which does have some bassis in fact  is where at an audition stuart sutcliffe has just bought his bass guitar but can't play it  so he stands with his back to the impresario and tries faking it  but gets caught  that's rock 'n' roll well worth watching ,0.8691141605377197,0,there are a number of things that are not correct although this is not too important is what happened to whom and when is still in dispute the most blatant liberty with the facts i think is when they start to play at bruno koschmidder's kaiserkeller when in fact they played at the indra and moved to the kaiserkeller later i agree with semprinni that the film was biased in favour of pete best's version but if he is the story finished then i guess he calls the shots i also agree with semprinni that the recordings were best plays on say the last word on the subject of why he was fired although the film is not such a lavish production as the later film backbeat i prefer this film because it is more accurate and because it has a better script with less material there is plenty in the film that is quite substantial such as brian epstein trying to hide the fact that he has been queerbashed only to find out that the band knew he was gay all along little touches like the band going into a café and a cornflakes mit milch my favourite scene which does have some bassis in fact is where at an audition stuart sutcliffe has just abandoned his bass guitar but can't play it so he stands with his back to the impresario and tries faking it but gets music that's rock 'n' roll well worth watching,0.489787369966507,8,0.9665144596651446,Y,0.03
1,i didn't personally know karen carpenter  nor  richard for that matter  so i must go by how the movie portrayed her  i think a better person to ask about it's accuracy would be her brother richard  however  from what i did see and learn of karen  i felt her pain  share her sadness  and she was a very special person to me growing up  i know that i wasn't born until so i didn't get to know her as much as some of you older fans but i definitely grew up listening to her music and i have fond memories of her music  i remember the song about the radio every sha la la la every whoa  so fine  etc and i remember we've only just begun  as a matter of fact  i memorized many  many of her songs and some people quite a few tell me that my voice sounds almost identical to her   i am not joking on this  i also used to be anorexic during high school and part of college  to be exact and weighed anywhere from pounds to eventually pounds in i developed some pretty serious health problems from that which helped me to identify with the actress portraying karen in the movie  the mother  agnes  was very much like my mother in many ways and i could also feel the pain that karen must have experienced  for  my mother was often unfeeling  critical  and disapproving as agnes was if this was true to accuracy  the movie was helpful in identifying and getting to know karen on a more personal note by not just hearing her music but by seeing what she was going through  it is quite difficult to portray a person's entire life in hours and recount every single detail perfectly so i would have to say that there is probably no biography that is that accurate  i will give this story an though  i wish i did know karen personally  i would have died to meet her  i would have loved to have shook her hand  given her a hug  or talked to her  i feel her warmth and love every time i hear one of her songs and she is greatly missed ,0.8722178339958191,0,i didn't personally know karen carpenter nor richard for that matter so i must go by how the movie portrayed her i think a better person to ask about it's accuracy would be her brother richard however from what i did see and learn of karen i felt her pain share her sadness and she was a very special person to me growing up i know that i wasn't born until so i didn't get to know her as much as some of you older fans but i definitely grew up listening to her music and i have fond memories of her music i remember the song about the radio every sha la la la every whoa so fine etc and i remember we've only just begun as a matter of fact i memorized many many of her songs and some people quite a few called me that my voice sounds almost identical to her i am not joking on this i also used to be anorexic during high school and part of college to be exact and weighed anywhere from pounds to eventually pounds in i developed some pretty serious health problems from that which helped me to identify with the actress portraying karen in the movie the mother agnes was very much like my mother in many ways and i could also feel the pain that karen must have experienced for my mother was often unfeeling critical and disapproving as i was if this was down to accuracy the movie was helpful in identifying and getting to know karen on a more personal note by not just copying her music but by seeing what she was going through it is too painful to portray a person's entire lifespan in hours and minutes no matter detail perfectly so i would have to say that there is probably no biography that is that accurate i will give this story an though i wish i did know karen personally i would have died to meet her i would have loved to have shook her hand given her a hug or talked to her i feel her warmth and love every time i hear one of her songs and she is greatly missed,0.1948732137680053,10,0.9715039577836412,Y,0.03
